"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Relive Prince William and Kate Middleton's royal wedding <ed><U+00A0><U+00BC><ed><U+00BE><U+008A>https://t.co/mnPQDN29x2 https://t.co/A9aaTJZNcO",FALSE,0,NA,2018-04-02 03:45:06,FALSE,NA,"980652314234118144",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","hellomagUS",0,FALSE,FALSE,NA,NA
"2","Speculation mounts over which wine will be chosen for royal wedding as producers report a bumper year.… https://t.co/ypxwtm97Rz",FALSE,0,NA,2018-04-02 03:45:02,TRUE,NA,"980652298438365185",NA,"<a href=""http://www.nc-web-services.co.uk/blogs"" rel=""nofollow"">NC Web Services News</a>","NCWebServicesAI",0,FALSE,FALSE,NA,NA
"3","RT @smilingbluedog: Yay! Making this for a lovely bride in Ontario https://t.co/3MDOTc6di9 via @EtsyCA #Etsyretwt #pottiteam #bestofetsy #e…",FALSE,0,NA,2018-04-02 03:42:57,FALSE,NA,"980651775014457344",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","BlueCornerCreas",1,TRUE,FALSE,NA,NA
"4","RT @KensingtonRoyal: Prince Harry and Ms. Meghan Markle have chosen floral designer Philippa Craddock to create the church flowers for thei…",FALSE,0,NA,2018-04-02 03:42:20,FALSE,NA,"980651617946128384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhitRaposo",307,TRUE,FALSE,NA,NA
"5","Yay! Making this for a lovely bride in Ontario https://t.co/3MDOTc6di9 via @EtsyCA #Etsyretwt #pottiteam… https://t.co/ZBNmOTiPEW",FALSE,0,NA,2018-04-02 03:41:52,TRUE,NA,"980651504058040321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","smilingbluedog",1,FALSE,FALSE,NA,NA
"6","this morning i walked in on my mom watching mass on the tv and my dumbass forgot it was Easter so I asked if she wa… https://t.co/knuLh8gUSx",FALSE,0,NA,2018-04-02 03:41:40,TRUE,NA,"980651452132569090",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mvrthaa",0,FALSE,FALSE,NA,NA
"7","RT @FabiannaLS: Also, Markle’s wedding dress, plus a second one for the evening, will eat up approximately $420,000 of the budget.

https:/…",FALSE,0,NA,2018-04-02 03:41:21,FALSE,NA,"980651374277898240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Iamstillskippy",3,TRUE,FALSE,NA,NA
"8","@SneezeCocoa @Royal_Realness I agree. The book is a poorly written one-sided mess. This was purely a rush job to ca… https://t.co/Fj8pRNN8HJ",FALSE,1,"SneezeCocoa",2018-04-02 03:40:47,TRUE,"980649587626205184","980651230098845696","795077115930611712","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AFarray",0,FALSE,FALSE,NA,NA
"9","Want to Crash the Royal Wedding Here’s How Much It Will Cost https://t.co/pnzJyteimT",FALSE,0,NA,2018-04-02 03:37:44,FALSE,NA,"980650461551198208",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","LuxuryFashionIt",0,FALSE,FALSE,NA,NA
"10","Meghan Markle, Prince Harry reveal florist for royal wedding https://t.co/ATEHQNdcbt",FALSE,0,NA,2018-04-02 03:36:07,FALSE,NA,"980650054930354178",NA,"<a href=""http://wecru.com/ke"" rel=""nofollow"">Beetink</a>","yceek",0,FALSE,FALSE,NA,NA
"11","Newsweek Special Commemorative Issue “ William &amp; Catherine: A Royal Wedding 2011 https://t.co/wOLXRzIQxA https://t.co/6mddFecHL6",FALSE,0,NA,2018-04-02 03:35:05,FALSE,NA,"980649796565217280",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","ThinkWeddings",0,FALSE,FALSE,NA,NA
"12","Royal wedding plans in full swing: Prince Harry and fiancée Meghan Markle are adding a modern…… https://t.co/J4muMnJeiL",FALSE,0,NA,2018-04-02 03:34:43,TRUE,NA,"980649704290734081",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","reviews_blogger",0,FALSE,FALSE,NA,NA
"13","Royal wedding plans in full swing https://t.co/NdUORofwYA",FALSE,0,NA,2018-04-02 03:33:06,FALSE,NA,"980649298038874117",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","IfdAwWa4nFMGXIr",0,FALSE,FALSE,NA,NA
