"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"287","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:58:38,FALSE,NA,"982029775442251776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chaeth",11186,TRUE,FALSE,NA,NA
"288","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:58:28,FALSE,NA,"982029734421942274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alyssak000",11186,TRUE,FALSE,NA,NA
"289","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:58:19,FALSE,NA,"982029695104450560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dntwachmewachtv",11186,TRUE,FALSE,NA,NA
"290","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:58:13,FALSE,NA,"982029673076084736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SebaVaroli",11186,TRUE,FALSE,NA,NA
"291","@realDonaldTrump Poor Trump, he isn't invited to royal wedding. Spanky is persona non grata in polite society on bo… https://t.co/pG3Oi3Eo4X",FALSE,0,"realDonaldTrump",2018-04-05 22:57:59,TRUE,NA,"982029613772693504","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WayneChinander",0,FALSE,FALSE,NA,NA
"292","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:57:40,FALSE,NA,"982029534244548611",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_JUJAN",11186,TRUE,FALSE,NA,NA
"293","Prince Phillip SHOCK: Royal might not be able to attend Meghan Markle wedding without THIS
https://t.co/M2igwYd1aS",FALSE,1,NA,2018-04-05 22:57:35,FALSE,NA,"982029510735515648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JosephMarkCarey",0,FALSE,FALSE,NA,NA
"294","RT @AmySandspeaks: ROYAL  WEDDING   UPDATE:          Invited to the nuptials- President Obama and First Lady Michelle.  Also invited- Bill…",FALSE,0,NA,2018-04-05 22:57:04,FALSE,NA,"982029381647454209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pirate_Queen007",4873,TRUE,FALSE,NA,NA
"295","Poor Trump, he isn't invited to royal wedding. Spanky is persona non grata in polite society on both sides of the p… https://t.co/yK9ASRyQNQ",FALSE,0,NA,2018-04-05 22:57:02,TRUE,NA,"982029371555774464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WayneChinander",0,FALSE,FALSE,NA,NA
"296","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:56:27,FALSE,NA,"982029228395958278",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","therealjoshudan",11186,TRUE,FALSE,NA,NA
"297","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:56:13,FALSE,NA,"982029166618054656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CharliiamMay",11186,TRUE,FALSE,NA,NA
"298","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:56:12,FALSE,NA,"982029162092179461",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GuyArk",11186,TRUE,FALSE,NA,NA
"299","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:56:09,FALSE,NA,"982029152978178050",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dish_man",11186,TRUE,FALSE,NA,NA
"300","RT @RealMuckmaker: The Real Reason Trump Won't Be Invited To The Royal Wedding https://t.co/90npvRrz5E",FALSE,0,NA,2018-04-05 22:55:52,FALSE,NA,"982029079661694976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","osdawg",99,TRUE,FALSE,NA,NA
"301","RT @HillaryWarnedUs: Raise your hand if you're invited to the Royal Wedding while Trump isn't. https://t.co/ejfNQbmwrz",FALSE,0,NA,2018-04-05 22:55:50,FALSE,NA,"982029071914643456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","r0xie_f0x",353,TRUE,FALSE,NA,NA
"302","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 22:55:46,FALSE,NA,"982029054856478720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shackmom",11186,TRUE,FALSE,NA,NA
